Closest approaches at Tevis Pl; PA (lat: 37.450204, long: -122.143786, elevation: 26), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
Tevis Pl; PA	52.6	42.2	49.8	46.2	57.6	8.5	6.1	4.6	3.6	2.9	2.5	0.7	0.7	0.5	0.3	0.2	0.2	9.3	6.4	5.0	4.3	3.4	3.0	10.7	8.2	6.2	4.7	3.9	3.4	13.3	9.0	6.7	5.0	4.0	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: acd262 (0)	Flight ID: Other	07/04/18 06:34:51	0.96	1.25	1530711291.4	37.436548	-122.14711	0.19	90.02	4277	284	-1996	112	06:34:57	2.408431e+06
ICAO: acd262 (0)	Flight ID: Other	07/04/18 06:36:07	4.16	4.22	1530711367.9	37.490798	-122.087631	-0.41	80.44	3725	205	-358	23	06:36:27	6.353581e+03
ICAO: acd262 (2)	Flight ID: Other	07/04/18 11:11:47	1.14	1.34	1530727907.3	37.445875	-122.163849	-0.48	76.42	3792	237	-1408	343	11:11:53	2.295577e+06
ICAO: acd262 (4)	Flight ID: Other	07/04/18 15:07:06	2.86	3.00	1530742026.1	37.491496	-122.140384	0.00	90.00	4875	224	-1216	44	15:07:20	6.511387e+04
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:32:46	0.21	1.09	1530765166.4	37.450969	-122.140038	-0.15	84.93	5694	205	-256	98	21:32:51	4.996796e+06
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:34:06	3.33	3.43	1530765246.7	37.448017	-122.083123	-0.10	87.59	4425	143	-896	35	21:34:22	4.288701e+04
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:35:10	4.48	4.54	1530765310.5	37.51291	-122.122829	-1.50	71.61	3950	250	-447	345	21:35:31	2.813104e+03
ICAO: a555c5 (0)	Flight ID: N443AC	07/04/18 06:34:51	1.71	1.72	1530711291.3	37.464138	-122.117908	0.09	89.97	419	70	1472	323	06:34:59	3.255344e+06
ICAO: a555c5 (1)	Flight ID: N443AC	07/04/18 08:29:14	2.26	2.26	1530718154.4	37.471574	-122.112573	0.10	90.00	800	88	109	136	08:29:24	7.743655e+05
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:30:09	1.70	1.71	1530729009.3	37.465805	-122.119699	-0.87	82.35	400	75	865	325	11:30:17	3.111727e+06
