Closest approaches at SIDBY SFO Approach SE (lat: 37.450711, long: -122.144722, elevation: 25), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
SIDBY SFO Approach SE	52.8	42.3	49.7	46.3	57.9	9.2	6.2	4.6	3.8	3.1	2.5	1.3	1.1	0.7	0.5	0.4	0.3	9.3	6.0	5.0	4.5	3.7	2.8	12.0	7.9	5.8	5.0	4.0	3.6	14.0	9.7	6.7	5.3	4.3	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a68e81 (1)	Flight ID: ASA1744	07/04/18 11:54:01	2.68	2.79	1530730441.6	37.435593	-122.099713	-0.13	88.32	4025	205	-1134	26	11:54:14	1.109980e+05
ICAO: a68e81 (1)	Flight ID: ASA1744	07/04/18 11:54:43	2.97	3.06	1530730483.9	37.473157	-122.098471	0.28	90.00	3925	201	28	331	11:54:58	6.427382e+04
ICAO: a68e81 (2)	Flight ID: ASA1714	07/04/18 13:16:04	3.14	4.22	1530735364.2	37.468034	-122.197763	0.00	90.00	14875	377	2112	107	13:16:24	3.475660e+03
ICAO: a13c43 (1)	Flight ID: SKW3371	07/04/18 09:44:37	1.44	1.63	1530722677.0	37.45871	-122.1204	-0.32	81.86	4075	241	-1364	355	09:44:44	1.138402e+06
ICAO: a4460e (0)	Flight ID: UAL2743	07/04/18 06:32:51	0.07	0.88	1530711171.4	37.451752	-122.145061	-0.05	88.01	4675	229	-1091	346	06:32:55	7.922366e+06
ICAO: a4460e (2)	Flight ID: UAL1121	07/04/18 12:00:10	1.28	1.55	1530730810.8	37.436737	-122.129283	-0.13	86.76	4575	201	-1561	55	12:00:18	1.676467e+06
ICAO: acd262 (0)	Flight ID: Other	07/04/18 06:34:50	0.98	1.27	1530711290.8	37.43676	-122.148136	0.10	90.02	4300	284	-1990	112	06:34:56	2.295278e+06
ICAO: acd262 (0)	Flight ID: Other	07/04/18 06:36:07	4.18	4.24	1530711367.9	37.490798	-122.087631	-0.38	81.25	3725	205	-378	21	06:36:27	6.176340e+03
ICAO: acd262 (2)	Flight ID: Other	07/04/18 11:11:47	1.10	1.31	1530727907.3	37.445875	-122.163849	-0.39	78.62	3792	237	-1408	343	11:11:53	2.492346e+06
ICAO: acd262 (4)	Flight ID: Other	07/04/18 15:07:06	2.83	2.97	1530742026.1	37.491496	-122.140384	0.00	90.00	4875	224	-1216	44	15:07:20	6.914621e+04
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:32:46	0.26	1.10	1530765166.4	37.450969	-122.140038	-0.24	81.74	5694	205	-263	99	21:32:51	4.865454e+06
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:34:06	3.38	3.48	1530765246.7	37.448017	-122.083123	-0.08	88.12	4425	144	-896	34	21:34:23	3.838134e+04
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:35:10	4.46	4.52	1530765310.5	37.51291	-122.122829	-1.43	72.35	3950	249	-439	345	21:35:31	2.933971e+03
ICAO: a555c5 (0)	Flight ID: N443AC	07/04/18 06:34:53	1.74	1.74	1530711293.9	37.464809	-122.118491	0.35	89.97	469	69	1472	325	06:35:02	3.113003e+06
ICAO: a555c5 (1)	Flight ID: N443AC	07/04/18 08:29:13	2.28	2.28	1530718153.3	37.471893	-122.11292	-0.10	89.22	800	89	148	135	08:29:24	7.395959e+05
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:30:09	1.72	1.72	1530729009.3	37.465805	-122.119699	-0.66	84.31	400	74	920	326	11:30:17	2.999436e+06
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:31:20	2.39	2.40	1530729080.2	37.475622	-122.114351	-0.22	89.02	900	64	128	134	11:31:31	7.963232e+05
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:35:47	1.73	1.73	1530729347.1	37.464869	-122.118709	-0.22	87.74	200	70	1294	325	11:35:55	3.147969e+06
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:37:50	1.06	1.08	1530729470.3	37.459143	-122.128502	-0.35	85.77	1100	76	-106	143	11:37:55	1.385895e+07
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:41:01	1.73	1.73	1530729661.2	37.466079	-122.119784	-0.51	85.98	200	72	1442	329	11:41:09	3.029419e+06
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:44:04	2.78	2.78	1530729844.1	37.476929	-122.106324	0.29	90.00	900	69	11	139	11:44:17	3.304882e+05
ICAO: a555c5 (3)	Flight ID: N443AC	07/04/18 18:08:36	1.72	1.72	1530752916.2	37.464736	-122.118817	0.03	89.97	405	61	1282	321	18:08:44	3.699913e+06
ICAO: a555c5 (3)	Flight ID: N443AC	07/04/18 18:10:09	1.04	1.09	1530753009.3	37.459866	-122.129618	0.40	90.02	1660	92	-37	142	18:10:14	1.134051e+07
ICAO: a555c5 (4)	Flight ID: N443AC	07/04/18 20:06:29	1.72	1.72	1530759989.2	37.46566	-122.119605	-2.99	68.88	400	53	1471	172	20:06:37	4.221365e+06
ICAO: a0fe7a (0)	Flight ID: SKW5667	07/04/18 06:42:51	0.35	0.93	1530711771.1	37.455605	-122.146414	-0.36	70.63	4600	260	-1239	347	06:42:55	6.055956e+06
ICAO: a0fe7a (3)	Flight ID: SKW371Y	07/04/18 19:27:26	4.90	5.66	1530757646.9	37.492401	-122.21694	0.00	90.00	14975	350	2048	107	19:27:53	2.426825e+02
ICAO: a1512f (1)	Flight ID: SKW3312	07/04/18 09:56:06	1.00	1.08	1530723366.1	37.447128	-122.127121	-0.17	83.18	2175	211	-821	7	09:56:11	5.094394e+06
ICAO: a125f9 (1)	Flight ID: SKW3409	07/04/18 09:49:37	2.99	3.04	1530722977.8	37.427304	-122.098956	0.10	90.00	2947	200	-128	24	09:49:52	6.787465e+04
ICAO: a0fac3 (0)	Flight ID: SKW5276	07/04/18 06:50:51	3.03	3.39	1530712251.9	37.411985	-122.170835	-0.17	87.86	7975	236	-955	122	06:51:07	2.845033e+04
ICAO: a0fac3 (0)	Flight ID: SKW5276	07/04/18 06:52:04	3.12	3.33	1530712325.0	37.432019	-122.092842	0.36	90.00	6139	239	-640	25	06:52:20	3.140190e+04
ICAO: a0fac3 (0)	Flight ID: SKW5276	07/04/18 06:52:56	3.80	3.93	1530712376.2	37.479956	-122.086018	0.49	90.01	5414	200	-1566	331	06:53:14	1.142903e+04
ICAO: a0fac3 (2)	Flight ID: SKW5423	07/04/18 12:27:55	2.06	2.24	1530732475.6	37.430545	-122.117093	0.34	90.01	4731	198	-1260	44	12:28:06	3.578813e+05
ICAO: a8a3ac (0)	Flight ID: Other	07/04/18 06:50:10	4.84	4.88	1530712210.2	37.514581	-122.108503	-0.19	88.51	3236	227	-1714	278	06:50:33	1.639590e+03
ICAO: a923a9 (0)	Flight ID: UAL471	07/04/18 06:50:51	2.91	3.09	1530712251.9	37.445596	-122.092139	-0.28	85.97	5550	251	-1209	16	06:51:06	4.876768e+04
ICAO: a923a9 (2)	Flight ID: UAL435	07/04/18 22:22:04	1.28	1.49	1530768124.7	37.458618	-122.165923	-0.28	81.98	4050	213	-1467	15	22:22:11	1.791268e+06
ICAO: ab97ff (1)	Flight ID: ASA1925	07/04/18 10:50:19	0.67	1.15	1530726619.9	37.451681	-122.156811	0.10	90.00	4948	217	-423	5	10:50:25	4.132370e+06
ICAO: ab6542 (1)	Flight ID: UAL334	07/04/18 10:56:45	0.02	0.87	1530727005.2	37.450835	-122.14512	0.16	90.00	4634	271	-1164	345	10:56:49	6.920967e+06
ICAO: aaf27c (0)	Flight ID: Other	07/04/18 06:56:32	1.72	1.99	1530712592.8	37.434668	-122.120698	0.19	90.01	5249	203	-1536	58	06:56:42	6.123946e+05
ICAO: aaf27c (2)	Flight ID: UAL16B0	07/04/18 14:16:08	0.29	0.77	1530738968.2	37.45472	-122.145996	0.00	90.00	3800	254	-1344	346	14:16:11	9.963285e+06
ICAO: a1d4bc (1)	Flight ID: CPZ6033	07/04/18 10:36:57	0.22	0.95	1530725817.3	37.453217	-122.142315	-0.24	79.91	4925	201	110	10	10:37:01	7.428376e+06
ICAO: ace8bd (0)	Flight ID: N9305N	07/04/18 06:52:50	2.11	2.11	1530712370.7	37.45472	-122.106529	0.00	90.00	375	87	768	112	06:53:00	1.079328e+06
ICAO: ace8bd (1)	Flight ID: Other	07/04/18 09:37:03	2.21	2.21	1530722223.5	37.456334	-122.105096	0.21	90.00	579	87	14	185	09:37:13	8.802270e+05
ICAO: ~2b0c23 (0)	Flight ID: Other	07/04/18 06:52:49	2.09	2.09	1530712369.7	37.451555	-122.106589	0.00	90.00	375	78	0	142	06:52:59	1.259183e+06
ICAO: ~2b03dd (0)	Flight ID: Other	07/04/18 06:55:00	0.25	0.93	1530712500.4	37.454115	-122.146056	-0.25	76.69	4775	238	-640	346	06:55:04	6.647379e+06
ICAO: a4028d (0)	Flight ID: N322RX	07/04/18 07:06:40	0.19	0.28	1530713200.6	37.448287	-122.143173	0.25	90.04	1119	121	-528	241	07:06:41	1.328363e+08
ICAO: a4028d (1)	Flight ID: N322RX	07/04/18 08:46:12	1.80	1.80	1530719172.6	37.458351	-122.113395	0.00	90.00	250	60	512	331	08:46:21	3.149325e+06
ICAO: ~2b09ad (0)	Flight ID: Other	07/04/18 06:56:19	1.49	1.83	1530712579.6	37.444339	-122.118829	-0.06	88.28	5700	238	-1732	21	06:56:28	7.308865e+05
ICAO: a47fd9 (0)	Flight ID: UAL870	07/04/18 07:01:51	0.49	1.26	1530712911.5	37.447586	-122.136763	-0.13	84.84	6150	283	-904	54	07:01:57	2.384141e+06
ICAO: a3774b (1)	Flight ID: N322RX	07/04/18 08:17:29	1.94	1.95	1530717449.1	37.43582	-122.174775	0.00	90.00	525	16	512	347	08:17:38	8.492041e+06
ICAO: a3774b (1)	Flight ID: N322RX	07/04/18 08:18:57	0.07	0.14	1530717537.3	37.449802	-122.144275	0.49	90.14	688	90	97	74	08:18:57	4.416254e+08
ICAO: a3774b (2)	Flight ID: N322RX	07/04/18 08:46:42	1.95	1.95	1530719202.5	37.464915	-122.113992	0.00	90.00	425	62	448	355	08:46:51	2.161767e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:02:38	1.75	1.75	1530712958.6	37.468407	-122.121993	-0.86	79.30	600	85	841	329	07:02:46	2.479822e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:08:09	1.92	1.93	1530713289.6	37.468835	-122.118051	0.29	89.99	507	69	455	316	07:08:18	2.048934e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:09:59	2.68	2.68	1530713399.4	37.471642	-122.103535	0.11	90.00	744	69	-121	125	07:10:12	4.059978e+05
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:14:04	1.89	1.89	1530713644.6	37.469603	-122.119711	0.24	89.99	483	78	709	3	07:14:13	1.941011e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:20:38	1.78	1.78	1530714038.0	37.464621	-122.117353	0.19	89.99	394	69	600	332	07:20:46	2.820032e+06
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:22:36	2.68	2.68	1530714156.9	37.472782	-122.104618	-1.03	79.83	775	82	196	118	07:22:49	3.459966e+05
