Closest approaches at EDDYY(3) (lat: 37.374903, long: -122.119028, elevation: 206.5), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
EDDYY(3)	42.4	36.6	42.3	40.5	45.7	8.0	5.2	3.4	2.7	2.2	1.9	0.7	0.4	0.2	0.2	0.1	0.2	7.3	4.5	3.1	2.3	2.0	1.7	12.0	7.5	4.8	3.7	3.1	2.3	12.0	8.2	5.5	4.5	3.8	3.4
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: ~2b03dd (0)	Flight ID: Other	07/04/18 06:54:21	2.71	2.89	1530712461.7	37.41273	-122.132383	0.00	90.00	5425	242	-1408	345	06:54:35	7.606192e+04
ICAO: ~2b09ad (0)	Flight ID: Other	07/04/18 06:55:58	3.61	3.79	1530712558.2	37.425299	-122.136622	-1.90	62.74	6325	261	-487	132	06:56:16	1.150227e+04
ICAO: a47fd9 (0)	Flight ID: UAL870	07/04/18 07:01:35	4.82	4.96	1530712895.6	37.436909	-122.159296	0.44	90.01	6408	286	-988	63	07:01:58	1.104757e+03
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:17:29	4.90	4.90	1530713849.6	37.44392	-122.098707	0.00	90.00	275	52	-192	254	07:17:52	6.881404e+03
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:24:35	4.91	4.91	1530714275.6	37.444805	-122.102887	0.00	90.00	150	61	-320	242	07:24:58	5.722581e+03
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:50:58	4.86	4.86	1530715858.8	37.44271	-122.095184	0.00	90.00	275	51	-256	213	07:51:21	7.470745e+03
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 07:51:23	4.81	4.82	1530715883.4	37.443315	-122.10217	0.00	90.00	125	42	-256	244	07:51:45	9.937728e+03
ICAO: a15739 (0)	Flight ID: N186CS	07/04/18 08:10:54	4.76	4.76	1530717054.8	37.442198	-122.100618	0.00	90.00	125	59	-320	244	08:11:17	7.907722e+03
ICAO: a84abd (0)	Flight ID: ASA1593	07/04/18 07:06:11	0.43	1.19	1530713171.6	37.380867	-122.12113	-0.46	72.48	6087	278	-1472	344	07:06:17	2.856256e+06
ICAO: aa7e56 (2)	Flight ID: UAL390	07/04/18 12:29:21	0.83	1.36	1530732561.8	37.368622	-122.106141	-0.06	88.36	5925	208	0	49	12:29:28	2.498356e+06
ICAO: a600e4 (0)	Flight ID: Other	07/04/18 07:11:52	0.06	1.06	1530713512.8	37.375825	-122.119117	0.18	90.12	5813	278	-1449	343	07:11:57	4.003804e+06
ICAO: a600e4 (2)	Flight ID: Other	07/04/18 11:47:07	3.64	3.68	1530730027.6	37.421808	-122.088796	0.00	90.00	2925	203	128	329	11:47:24	1.866162e+04
ICAO: a2dc02 (1)	Flight ID: N28338	07/04/18 11:50:41	4.75	4.75	1530730241.3	37.440628	-122.093694	0.00	90.00	500	77	-448	278	11:51:03	6.159020e+03
ICAO: ac735b (2)	Flight ID: SKW5195	07/04/18 15:55:20	4.02	4.13	1530744920.9	37.425064	-122.156164	-1.31	75.89	5300	230	-1304	91	15:55:40	6.734741e+03
ICAO: aa630b (1)	Flight ID: TAI564	07/04/18 19:20:57	0.17	1.16	1530757257.5	37.377304	-122.119426	-0.12	85.20	6250	271	-1521	343	19:21:02	3.214247e+06
ICAO: a1c229 (0)	Flight ID: CPZ6034	07/04/18 07:21:51	0.24	1.12	1530714111.8	37.378326	-122.119816	-0.24	79.64	6000	260	-331	344	07:21:57	3.652780e+06
ICAO: a1c229 (2)	Flight ID: CPZ6045	07/04/18 16:27:32	4.24	4.34	1530746852.6	37.418381	-122.17352	-0.77	83.33	5125	240	-1093	64	16:27:52	4.323112e+03
ICAO: ab7e23 (1)	Flight ID: N84GN	07/04/18 11:47:11	4.08	4.12	1530730031.7	37.384094	-122.192513	0.00	90.00	3150	134	-448	233	11:47:31	1.183819e+04
ICAO: ab7e23 (1)	Flight ID: N84GN	07/04/18 11:49:44	3.05	3.11	1530730184.6	37.348314	-122.163301	0.39	90.00	3475	128	-54	142	11:49:59	9.210041e+04
ICAO: a6ac39 (0)	Flight ID: ASA1921	07/04/18 07:27:03	0.10	1.10	1530714423.4	37.376304	-122.119208	0.12	90.17	5978	283	-2632	344	07:27:08	3.595796e+06
ICAO: ab0158 (0)	Flight ID: Other	07/04/18 07:28:54	0.39	0.96	1530714534.3	37.37356	-122.125887	0.49	90.08	4862	254	-1060	336	07:28:58	5.731997e+06
ICAO: ~2b08fc (1)	Flight ID: Other	07/04/18 13:48:16	4.18	4.32	1530737296.5	37.432003	-122.144503	-2.55	65.54	5850	228	-1291	110	13:48:36	4.740295e+03
ICAO: ab7080 (4)	Flight ID: ASA1758	07/04/18 21:07:53	0.36	1.14	1530763673.9	37.377075	-122.125038	0.17	90.00	5925	214	0	24	21:07:59	4.241014e+06
ICAO: ad19f2 (3)	Flight ID: Other	07/04/18 20:05:28	4.52	4.67	1530759928.9	37.43568	-122.149399	0.00	90.00	6550	197	-1280	103	20:05:50	2.772142e+03
ICAO: a923ef (2)	Flight ID: UAL643	07/04/18 20:45:51	3.15	3.38	1530762351.3	37.418782	-122.134532	-1.42	74.95	6750	201	-800	91	20:46:07	3.376688e+04
ICAO: ac8364 (0)	Flight ID: Other	07/04/18 07:39:52	0.05	1.03	1530715192.1	37.37546	-122.119526	0.21	90.09	5641	289	-1906	343	07:39:56	4.202466e+06
ICAO: a2d745 (1)	Flight ID: ASA1050	07/04/18 21:58:33	3.34	3.43	1530766713.6	37.419853	-122.141279	-0.42	84.53	4350	240	-2474	62	21:58:49	2.586731e+04
ICAO: ab856c (0)	Flight ID: ASA1949	07/04/18 07:41:17	0.05	1.11	1530715277.1	37.375571	-122.119223	0.43	90.08	6065	257	-1271	343	07:41:22	3.824208e+06
ICAO: a842e7 (1)	Flight ID: QXE2810	07/04/18 10:08:47	4.35	4.38	1530724127.6	37.394761	-122.043895	-0.43	86.57	2925	195	501	324	10:09:08	4.968356e+03
ICAO: a73a47 (0)	Flight ID: JBU1136	07/04/18 07:46:41	0.06	1.13	1530715601.1	37.375763	-122.118998	-0.01	89.68	6175	280	-1213	344	07:46:46	3.321607e+06
ICAO: a5521c (0)	Flight ID: ASA364	07/04/18 07:53:13	0.59	1.20	1530715993.9	37.379443	-122.12817	0.05	90.12	5737	228	-2015	26	07:53:19	3.399578e+06
ICAO: aa7c64 (0)	Flight ID: JBU826	07/04/18 07:51:33	3.20	3.23	1530715893.6	37.381447	-122.06133	-0.66	82.09	2600	230	-1109	343	07:51:48	4.000353e+04
ICAO: aad3a0 (2)	Flight ID: SKW5416	07/04/18 11:24:38	0.42	1.13	1530728678.8	37.380702	-122.121038	-0.39	72.53	5775	271	-1461	343	11:24:44	3.418075e+06
ICAO: aad3a0 (4)	Flight ID: SKW5697	07/04/18 19:26:18	1.73	2.01	1530757578.1	37.380981	-122.149579	-0.35	82.00	5575	246	-1194	3	19:26:27	4.837546e+05
ICAO: a6f96c (0)	Flight ID: Other	07/04/18 08:03:50	3.20	3.24	1530716630.3	37.403094	-122.072674	-1.02	77.36	2675	230	-1158	316	08:04:05	3.936858e+04
ICAO: a12d67 (0)	Flight ID: SKW3397	07/04/18 08:12:43	2.74	2.78	1530717163.9	37.390915	-122.073416	-1.76	64.96	2675	221	-783	315	08:12:56	1.045931e+05
ICAO: a954e4 (0)	Flight ID: N700DL	07/04/18 08:14:23	1.42	1.48	1530717263.7	37.37898	-122.093632	-0.32	86.31	2400	92	1401	166	08:14:30	4.281047e+06
ICAO: a954e4 (1)	Flight ID: N700DL	07/04/18 09:26:46	2.71	2.73	1530721606.2	37.393085	-122.075242	-1.23	80.96	1750	121	-1810	335	09:26:59	2.110342e+05
ICAO: ab81b5 (1)	Flight ID: ASA1273	07/04/18 15:56:43	0.05	1.05	1530745003.3	37.375638	-122.119337	0.21	90.11	5732	243	-1412	343	15:56:48	4.775810e+06
ICAO: a09fc4 (0)	Flight ID: UAL858	07/04/18 08:24:06	1.13	1.71	1530717846.4	37.390892	-122.123071	0.25	90.07	6974	224	-1374	80	08:24:14	1.038098e+06
ICAO: a4ac26 (0)	Flight ID: N40VC	07/04/18 08:24:47	4.37	4.40	1530717887.3	37.438172	-122.118042	0.33	90.02	2909	224	-940	90	08:25:07	4.123707e+03
ICAO: a19ecf (1)	Flight ID: SKW5966	07/04/18 10:36:49	0.32	1.10	1530725809.6	37.376026	-122.12474	0.18	90.09	5765	251	-1366	5	10:36:54	4.016696e+06
ICAO: a02dda (0)	Flight ID: SKW5358	07/04/18 08:28:13	2.64	2.89	1530718093.4	37.404397	-122.149698	-0.31	85.21	6350	243	-1472	59	08:28:26	7.574177e+04
ICAO: aa159e (2)	Flight ID: Other	07/04/18 21:03:53	0.36	1.03	1530763434.0	37.379543	-122.122144	0.22	90.02	5273	217	-944	37	21:03:58	5.665928e+06
ICAO: a2e621 (0)	Flight ID: ASA1923	07/04/18 08:26:44	0.07	1.08	1530718004.5	37.375928	-122.119204	0.03	90.13	5916	242	-1536	343	08:26:49	4.357578e+06
ICAO: a2e621 (2)	Flight ID: ASA1285	07/04/18 19:17:20	0.08	1.12	1530757040.8	37.376056	-122.118968	0.33	90.13	6118	271	-2091	343	19:17:26	3.514383e+06
ICAO: c03f02 (1)	Flight ID: WJA1776	07/04/18 21:09:51	0.94	1.43	1530763791.9	37.3702	-122.102901	0.04	90.12	5889	191	-438	25	21:09:58	2.314575e+06
ICAO: a0b333 (1)	Flight ID: SKW5682	07/04/18 09:30:26	2.56	3.72	1530721826.1	37.411101	-122.108944	0.01	89.97	14478	352	1729	105	09:30:43	9.797690e+03
